Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-06-23 00:00:00+10:00,176.86766098622016,179.20970335262408,175.73065637358545,179.15139770507812,1407371,0.0,0.0,CBA.AX
2025-06-24 00:00:00+10:00,179.9677182966259,183.28156121666763,179.73448086256377,182.82481384277344,2243842,0.0,0.0,CBA.AX
2025-06-25 00:00:00+10:00,184.48657258084657,186.5856648694672,183.689704014618,186.00257873535156,2247175,0.0,0.0,CBA.AX
2025-06-26 00:00:00+10:00,185.118264492192,186.46906646204212,184.89473972251727,185.33206176757812,1926397,0.0,0.0,CBA.AX
2025-06-27 00:00:00+10:00,185.1279569974793,185.67216279247162,180.13290405273438,180.13290405273438,2059721,0.0,0.0,CBA.AX
2025-06-30 00:00:00+10:00,180.1329141653764,181.56146187167766,178.23790644125128,179.5401153564453,2762322,0.0,0.0,CBA.AX
2025-07-01 00:00:00+10:00,179.01534420484637,179.11251534014664,176.28457283852651,177.43130493164062,2968299,0.0,0.0,CBA.AX
2025-07-02 00:00:00+10:00,177.83946560757636,178.66550184370968,175.41967737662432,178.49057006835938,3202955,0.0,0.0,CBA.AX
2025-07-03 00:00:00+10:00,177.26610080408804,177.26610080408804,174.51590410550807,174.622802734375,1989031,0.0,0.0,CBA.AX
2025-07-04 00:00:00+10:00,174.44788199495736,175.4002570499865,171.46446252003145,172.98046875,2022811,0.0,0.0,CBA.AX
2025-07-07 00:00:00+10:00,172.56259954401224,173.96684337374714,171.98922605364422,172.7958221435547,1233379,0.0,0.0,CBA.AX
2025-07-08 00:00:00+10:00,172.08640743409126,174.82687670512405,171.8531700122707,174.224365234375,2169151,0.0,0.0,CBA.AX
2025-07-09 00:00:00+10:00,173.272000724218,174.92405830921695,172.03781016083516,173.85507202148438,1361633,0.0,0.0,CBA.AX
2025-07-10 00:00:00+10:00,174.41872862319337,176.46922802486688,173.95226859124074,175.28363037109375,1506974,0.0,0.0,CBA.AX
2025-07-11 00:00:00+10:00,175.47799186892428,175.64319614481687,173.37889960729572,174.36041259765625,1396922,0.0,0.0,CBA.AX
2025-07-14 00:00:00+10:00,174.0494494022472,175.23504702088002,173.09707437842962,173.68016052246094,897592,0.0,0.0,CBA.AX
